#in_n	in_c	in_h	in_w	f_n	f_c	f_h	f_w	stride	padding	out_n	out_c	out_h	out_w
1	1	32	32	6	1	5	5	1	0	1	6	28	28
1	6	14	14	16	6	5	5	1	0	1	16	10	10
