#in_n	in_c	in_h	in_w	f_n	f_c	f_h	f_w	stride	padding	out_n	out_c	out_h	out_w
1	32	112	112	32	32	3	3	1	1	1	16	112	112	
1	96	112	112	24	96	3	3	2	1	1	24	56	56	
1	144	56	56	24	144	3	3	1	1	1	24	56	56	
1	144	56	56	32	144	3	3	2	1	1	32	28	28	
1	192	28	28	32	192	3	3	1	1	1	32	28	28	
1	192	28	28	32	192	3	3	1	1	1	32	28	28	
1	192	28	28	64	192	3	3	1	1	1	64	28	28	
1	384	28	28	64	384	3	3	1	1	1	64	28	28	
1	384	28	28	64	384	3	3	1	1	1	64	28	28	
1	384	28	28	64	384	3	3	1	1	1	64	28	28	
1	384	28	28	96	384	3	3	2	1	1	96	14	14	
1	576	14	14	96	576	3	3	1	1	1	96	14	14	
1	576	14	14	96	576	3	3	1	1	1	96	14	14	
1	576	14	14	160	576	3	3	2	1	1	160	7	7	
1	960	7	7	160	960	3	3	1	1	1	160	7	7	
1	960	7	7	160	960	3	3	1	1	1	160	7	7	
1	960	7	7	320	960	3	3	1	1	1	320	7	7	
